기간,분류,전시회 관람,박물관 관람,음악 및 무용발표회 관람,전통예술공연 관람,연극공연 관람,극장에서 영화관람,대중공연 관람,스포츠경기 관람
2019,송파구,0.34,0.3,0.14,0.13,0.39,3.43,0.25,0.42
2019,강동구,0.21,0.15,0.03,0.02,0.28,3.09,0.14,0.23
2020,서울시,0.32,0.29,0.13,0.1,0.38,2.5,0.16,0.3
2020,남자,0.31,0.3,0.12,0.1,0.35,2.52,0.15,0.46
2020,여자,0.34,0.27,0.13,0.09,0.42,2.48,0.17,0.16
2020,10대,0.24,0.28,0.04,0.06,0.26,2.68,0.07,0.16
2020,20대,0.46,0.25,0.15,0.07,0.71,3.87,0.27,0.33
2020,30대,0.53,0.44,0.21,0.12,0.63,3.42,0.26,0.48
2020,40대,0.37,0.43,0.18,0.13,0.39,2.91,0.19,0.41
2020,50대,0.26,0.24,0.11,0.07,0.26,2.23,0.12,0.32
2020,60대 이상,0.12,0.13,0.05,0.09,0.1,0.83,0.06,0.11
2020,중졸 이하,0.06,0.09,0.02,0.08,0.05,0.62,0.04,0.04
2020,고졸 이하,0.15,0.18,0.06,0.07,0.19,1.72,0.11,0.14
2020,대졸 이하,0.43,0.35,0.16,0.1,0.55,3.29,0.21,0.42
2020,대학원 이상,0.87,0.76,0.48,0.25,0.66,3.75,0.3,0.75
2020,100만원 미만,0.3,0.21,0.14,0.1,0.31,1.51,0.16,0.14
2020,100-200만원 미만,0.25,0.2,0.06,0.09,0.24,1.92,0.13,0.15
2020,200-300만원 미만,0.31,0.24,0.09,0.07,0.33,2.28,0.16,0.23
2020,300-400만원 미만,0.27,0.26,0.1,0.08,0.34,2.21,0.13,0.3
2020,400-500만원 미만,0.24,0.26,0.08,0.08,0.38,2.4,0.13,0.24
2020,500만원 이상,0.39,0.34,0.18,0.12,0.46,2.93,0.19,0.4
2020,기혼,0.31,0.32,0.14,0.11,0.32,2.21,0.15,0.31
2020,미혼,0.45,0.28,0.14,0.07,0.62,3.68,0.22,0.37
